@RELATION clima
@ATTRIBUTE FECHA date dd-MM
@ATTRIBUTE T_MAX real
@ATTRIBUTE T_MED real
@ATTRIBUTE T_MIN real
@ATTRIBUTE H_R_MAX real
@ATTRIBUTE H_R_MED real
@ATTRIBUTE H_R_MIN real
@ATTRIBUTE RADIACION real
@ATTRIBUTE class {VERDADERO,FALSO}
@ATTRIBUTE LLUVIA2 real
@ATTRIBUTE LLUVIA_MIN real
@ATTRIBUTE T_S_MAX real
@ATTRIBUTE T_S_MED real
@ATTRIBUTE T_S_MIN real
@ATTRIBUTE V_MAX real
@ATTRIBUTE V_MED real
@ATTRIBUTE V_MIN real
@ATTRIBUTE CV1 integer
@ATTRIBUTE CV2 integer 
@ATTRIBUTE CV3 integer
@ATTRIBUTE CV4 integer
@ATTRIBUTE DIRECCION integer
@ATTRIBUTE HORAS integer
@ATTRIBUTE H_T integer
@ATTRIBUTE H_HR integer
@ATTRIBUTE H_R integer
@ATTRIBUTE H_LL integer
@ATTRIBUTE H_TS integer
@ATTRIBUTE H_V integer
@ATTRIBUTE H_D integer
@ATTRIBUTE CALCULOS integer
@ATTRIBUTE MTMEN0 integer
@ATTRIBUTE MTMEN7 integer
@ATTRIBUTE MTMA30 integer
@ATTRIBUTE MVMA50 integer

@DATA
14-2,19.13,14.10333,10.59,86.8,74.52916,47.3,14.16005,FALSO,0,0,14.22,13.06292,12.14,14.4,4.218376,0,143,254,524,519,3,24,24,24,24,24,24,24,24,1,0,0,0,0
15-2,16.93,11.72625,7.4,87.1,56.42833,25.25,13.37537,FALSO,0,0,13.78,12.57375,11.23,15.3,3.521292,0,206,577,194,463,2,24,24,24,24,24,24,24,24,1,0,0,0,0
16-2,14.95,10.88292,4.9,82.8,63.64999,46.6,13.4166,FALSO,0,0,12.79,11.665,10,23.1,7.401708,0,385,668,68,319,2,24,24,24,24,24,24,24,24,1,0,272,0,0
17-2,15.06,12.09833,10.6,82.2,67.22916,54.4,7.115255,FALSO,0,0,13.72,12.51,11.56,22.2,8.685542,0,920,266,26,228,1,24,24,24,24,24,24,24,24,1,0,0,0,0
18-2,15.96,12.095,9.07,81.2,65.99584,50,15.82764,FALSO,0,0,13.74,12.45833,11.06,26.1,8.201918,0.3,698,496,32,214,1,24,24,24,24,24,24,24,24,1,0,0,0,0
19-2,15.94,11.88833,7.89,80.9,56.87,36.3,15.81279,FALSO,0,0,13.48,12.345,11.09,26.7,7.900042,0,690,429,63,258,1,24,24,24,24,24,24,24,24,1,0,0,0,0
20-2,15.94,10.55,4.17,90.2,68.32293,35.28,17.84113,FALSO,0,0,12.96,11.67708,9.76,21,4.328291,0,11,46,697,686,3,24,24,24,24,24,24,24,24,1,0,465,0,0
21-2,20.55,13.81125,7.83,88.6,57.93875,24.02,16.59111,FALSO,0,0,14.97,13.01458,11.15,14.4,2.97525,0,36,59,756,589,3,24,24,24,24,24,24,24,24,1,0,0,0,0
22-2,19.43,11.72958,6.33,74.4,51.72542,27.62,17.40557,FALSO,0,0,14.06,12.69708,10.89,22.2,3.704625,0,137,396,234,673,4,24,24,24,24,24,24,24,24,1,0,95,0,0
23-2,18.17,10.754,2.784,88.3,70.22916,45.1,17.89554,FALSO,0,0,13.77,12.14917,10,16.8,3.191833,0,5,39,670,726,4,24,24,24,24,24,24,24,24,1,0,527,0,0
24-2,19.62,11.8175,3.519,93.2,78.89999,51.6,18.37663,FALSO,0,0,14.23,12.46958,10.14,13.2,2.047708,0,7,18,627,788,4,24,24,24,24,24,24,24,24,1,0,454,0,0
